,TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
0,0,2018-04-01 00:00:31,596,1337,57.16,31,0,0,0
1,1,2018-04-01 00:07:56,2,523,146.0,476,0,0,0
2,2,2018-04-01 00:10:34,927,824,50.99,634,0,0,0
3,3,2018-04-01 00:10:45,568,4805,44.71,645,0,0,0
4,4,2018-04-01 00:13:44,541,3260,59.07,824,0,0,0
5,5,2018-04-01 00:25:24,508,4627,139.45,1524,0,0,0
6,6,2018-04-01 00:27:27,967,1208,74.32,1647,0,0,0
7,7,2018-04-01 00:28:07,616,2944,12.18,1687,0,0,0
8,8,2018-04-01 00:30:05,360,584,92.74,1805,0,0,0
9,9,2018-04-01 00:32:35,183,2208,39.3,1955,0,0,0
10,10,2018-04-01 00:34:29,731,4544,53.55,2069,0,0,0
11,11,2018-04-01 00:36:39,855,1622,78.32,2199,0,0,0
12,12,2018-04-01 00:40:12,935,2888,8.37,2412,0,0,0
13,13,2018-04-01 00:43:59,382,880,15.35,2639,0,0,0
14,14,2018-04-01 00:45:51,381,3816,23.15,2751,0,0,0
15,15,2018-04-01 00:51:21,712,3200,20.25,3081,0,0,0
16,16,2018-04-01 00:57:10,975,4291,16.56,3430,0,0,0
17,17,2018-04-01 00:57:25,426,1150,82.58,3445,0,0,0
18,18,2018-04-01 01:00:17,893,3943,4.94,3617,0,0,0
19,19,2018-04-01 01:11:00,8,1738,2.08,4260,0,0,0
20,20,2018-04-01 01:11:16,786,1697,46.77,4276,0,0,0
21,21,2018-04-01 01:11:32,535,3099,5.83,4292,0,0,0
22,22,2018-04-01 01:20:57,655,118,96.89,4857,0,0,0
23,23,2018-04-01 01:25:06,447,219,91.8,5106,0,0,0
24,24,2018-04-01 01:26:30,408,1198,23.41,5190,0,0,0
25,25,2018-04-01 01:28:30,973,895,47.74,5310,0,0,0
26,26,2018-04-01 01:32:39,724,4868,90.91,5559,0,0,0
27,27,2018-04-01 01:38:24,524,1704,97.85,5904,0,0,0
28,28,2018-04-01 01:38:25,230,3002,18.93,5905,0,0,0
29,29,2018-04-01 01:51:24,731,933,57.3,6684,0,0,0
30,30,2018-04-01 01:54:28,955,3072,40.17,6868,0,0,0
31,31,2018-04-01 01:54:50,569,2337,88.55,6890,0,0,0
32,32,2018-04-01 01:55:28,474,341,10.67,6928,0,0,0
33,33,2018-04-01 01:56:23,398,3360,8.8,6983,0,0,0
34,34,2018-04-01 01:56:44,55,683,35.06,7004,0,0,0
35,35,2018-04-01 01:57:21,850,4806,86.04,7041,0,0,0
36,36,2018-04-01 01:59:15,159,2837,54.22,7155,0,0,0
37,37,2018-04-01 02:00:26,531,1107,49.68,7226,0,0,0
38,38,2018-04-01 02:00:54,865,3794,42.46,7254,0,0,0
39,39,2018-04-01 02:07:55,749,4408,151.75,7675,0,0,0
40,40,2018-04-01 02:09:22,819,936,75.38,7762,0,0,0
41,41,2018-04-01 02:09:51,825,3791,83.55,7791,0,0,0
42,42,2018-04-01 02:13:54,354,1872,22.84,8034,0,0,0
43,43,2018-04-01 02:17:26,220,3371,110.42,8246,0,0,0
44,44,2018-04-01 02:18:04,953,1459,17.3,8284,0,0,0
45,45,2018-04-01 02:20:28,423,1340,30.29,8428,0,0,0
46,46,2018-04-01 02:22:02,447,3313,94.1,8522,0,0,0
47,47,2018-04-01 02:24:16,851,2271,29.43,8656,0,0,0
48,48,2018-04-01 02:24:40,30,1912,171.78,8680,0,0,0
49,49,2018-04-01 02:25:21,671,1422,7.72,8721,0,0,0
50,50,2018-04-01 02:26:38,574,2285,58.26,8798,0,0,0
51,51,2018-04-01 02:27:04,340,3067,31.55,8824,0,0,0
52,52,2018-04-01 02:28:17,497,1356,28.96,8897,0,0,0
53,53,2018-04-01 02:28:17,270,4642,10.78,8897,0,0,0
54,54,2018-04-01 02:29:54,988,4183,80.62,8994,0,0,0
55,55,2018-04-01 02:30:00,358,1811,74.36,9000,0,0,0
56,56,2018-04-01 02:30:25,758,2287,13.69,9025,0,0,0
57,57,2018-04-01 02:33:41,177,4318,24.14,9221,0,0,0
58,58,2018-04-01 02:34:30,881,3415,17.33,9270,0,0,0
59,59,2018-04-01 02:34:59,863,2151,135.33,9299,0,0,0
60,60,2018-04-01 02:35:44,286,3495,19.79,9344,0,0,0
61,61,2018-04-01 02:35:49,865,4581,20.26,9349,0,0,0
62,62,2018-04-01 02:35:58,340,587,10.24,9358,0,0,0
63,63,2018-04-01 02:36:35,139,1927,119.38,9395,0,0,0
64,64,2018-04-01 02:36:40,632,4203,33.43,9400,0,0,0
65,65,2018-04-01 02:37:22,204,950,73.44,9442,0,0,0
66,66,2018-04-01 02:42:44,884,3946,46.13,9764,0,0,0
67,67,2018-04-01 02:42:52,856,1606,34.44,9772,0,0,0
68,68,2018-04-01 02:43:34,59,2146,40.21,9814,0,0,0
69,69,2018-04-01 02:47:11,128,3459,96.68,10031,0,0,0
70,70,2018-04-01 02:54:36,563,4470,74.29,10476,0,0,0
71,71,2018-04-01 02:55:03,458,4200,6.45,10503,0,0,0
72,72,2018-04-01 02:56:14,517,3664,44.06,10574,0,0,0
73,73,2018-04-01 02:57:37,418,2757,175.25,10657,0,0,0
74,74,2018-04-01 02:58:09,528,643,95.49,10689,0,0,0
75,75,2018-04-01 03:00:01,53,3587,2.32,10801,0,0,0
76,76,2018-04-01 03:00:54,842,4319,8.84,10854,0,0,0
77,77,2018-04-01 03:04:19,576,2867,146.32,11059,0,0,0
78,78,2018-04-01 03:07:18,36,1048,12.36,11238,0,0,0
79,79,2018-04-01 03:09:12,540,295,56.79,11352,0,0,0
80,80,2018-04-01 03:10:05,930,3414,9.25,11405,0,0,0
81,81,2018-04-01 03:12:11,77,3289,87.99,11531,0,0,0
82,82,2018-04-01 03:16:25,555,922,5.15,11785,0,0,0
83,83,2018-04-01 03:18:32,684,3013,48.97,11912,0,0,0
84,84,2018-04-01 03:21:54,249,4849,35.61,12114,0,0,0
85,85,2018-04-01 03:22:53,81,4163,83.99,12173,0,0,0
86,86,2018-04-01 03:23:09,776,3130,57.91,12189,0,0,0
87,87,2018-04-01 03:25:24,461,3067,52.19,12324,0,0,0
88,88,2018-04-01 03:30:42,889,1334,10.89,12642,0,0,0
89,89,2018-04-01 03:35:19,721,3677,16.27,12919,0,0,0
90,90,2018-04-01 03:37:49,261,1066,118.23,13069,0,0,0
91,91,2018-04-01 03:38:04,786,3107,16.37,13084,0,0,0
92,92,2018-04-01 03:39:01,842,396,9.18,13141,0,0,0
93,93,2018-04-01 03:40:23,354,1223,26.61,13223,0,0,0
94,94,2018-04-01 03:41:00,67,3243,125.0,13260,0,0,0
95,95,2018-04-01 03:41:12,891,3768,84.67,13272,0,0,0
96,96,2018-04-01 03:41:32,454,3150,21.37,13292,0,0,0
97,97,2018-04-01 03:42:06,98,2654,1.71,13326,0,0,0
98,98,2018-04-01 03:44:19,111,1716,63.71,13459,0,0,0
99,99,2018-04-01 03:46:29,380,1356,73.0,13589,0,0,0
100,100,2018-04-01 03:49:27,423,3176,15.74,13767,0,0,0
101,101,2018-04-01 03:50:28,532,739,6.43,13828,0,0,0
102,102,2018-04-01 03:51:40,204,3108,101.18,13900,0,0,0
103,103,2018-04-01 03:53:02,635,3847,1.93,13982,0,0,0
104,104,2018-04-01 03:54:58,979,3668,43.71,14098,0,0,0
105,105,2018-04-01 03:56:21,200,49,85.63,14181,0,0,0
106,106,2018-04-01 03:56:36,356,3948,34.76,14196,0,0,0
107,107,2018-04-01 03:57:45,873,1086,7.82,14265,0,0,0
108,108,2018-04-01 03:58:06,284,1980,39.33,14286,0,0,0
109,109,2018-04-01 03:59:09,395,3160,45.94,14349,0,0,0
110,110,2018-04-01 03:59:19,161,4176,76.2,14359,0,0,0
111,111,2018-04-01 03:59:34,792,4496,120.88,14374,0,0,0
112,112,2018-04-01 04:00:12,38,4066,11.13,14412,0,0,0
113,113,2018-04-01 04:00:50,495,1763,43.42,14450,0,0,0
114,114,2018-04-01 04:00:55,440,421,13.16,14455,0,0,0
115,115,2018-04-01 04:01:00,870,2663,98.8,14460,0,0,0
116,116,2018-04-01 04:01:52,345,2968,113.14,14512,0,0,0
117,117,2018-04-01 04:04:29,818,2982,26.77,14669,0,0,0
118,118,2018-04-01 04:05:19,803,1038,73.98,14719,0,0,0
119,119,2018-04-01 04:06:08,35,4968,65.09,14768,0,0,0
120,120,2018-04-01 04:07:19,769,89,34.19,14839,0,0,0
121,121,2018-04-01 04:07:58,795,4277,33.76,14878,0,0,0
122,122,2018-04-01 04:08:36,382,2424,5.05,14916,0,0,0
123,123,2018-04-01 04:10:15,874,2365,26.9,15015,0,0,0
124,124,2018-04-01 04:10:20,471,2787,5.1,15020,0,0,0
125,125,2018-04-01 04:10:27,632,262,29.48,15027,0,0,0
126,126,2018-04-01 04:10:58,131,405,46.95,15058,0,0,0
127,127,2018-04-01 04:11:30,247,2904,10.8,15090,0,0,0
128,128,2018-04-01 04:13:33,888,3133,51.37,15213,0,0,0
129,129,2018-04-01 04:16:18,818,3594,95.04,15378,0,0,0
130,130,2018-04-01 04:17:03,418,1436,110.97,15423,0,0,0
131,131,2018-04-01 04:17:19,476,2800,41.69,15439,0,0,0
132,132,2018-04-01 04:18:34,356,2603,124.43,15514,0,0,0
133,133,2018-04-01 04:19:34,183,992,64.92,15574,0,0,0
134,134,2018-04-01 04:20:48,36,206,16.18,15648,0,0,0
135,135,2018-04-01 04:21:55,186,1308,53.31,15715,0,0,0
136,136,2018-04-01 04:22:03,410,418,80.97,15723,0,0,0
137,137,2018-04-01 04:22:37,162,3525,54.81,15757,0,0,0
138,138,2018-04-01 04:24:01,318,358,61.42,15841,0,0,0
139,139,2018-04-01 04:24:09,388,2955,22.04,15849,0,0,0
140,140,2018-04-01 04:25:58,658,358,42.79,15958,0,0,0
141,141,2018-04-01 04:26:13,148,4753,42.91,15973,0,0,0
142,142,2018-04-01 04:27:51,424,1244,4.3,16071,0,0,0
143,143,2018-04-01 04:29:24,632,66,22.05,16164,0,0,0
144,144,2018-04-01 04:31:00,28,1314,84.23,16260,0,0,0
145,145,2018-04-01 04:33:57,597,1880,36.06,16437,0,0,0
